AF.01.1109,Shighnan District__Shighnan District
NP.00.11607998,Sitapur__Si̇̄tāpur
NP.00.11607999,Maheshpur__Maheshpur
NP.00.11608000,Siswani__Siswani̇̄
NP.00.11608001,Padariya__Paḍari̇̄yā
NP.00.11608002,Bhadaiya__Bhadaiyā
NP.00.11608003,Bramhan Gorchhari__Bramhān Gorchhāri̇̄
NP.00.11608004,Sonmati__Sonmati̇̄
NP.00.11608005,Bhawanipur Kalabanjar__Bhawānipur Kalābanjar
NP.00.11608006,Gadha__Gāḍhā
NP.00.11608007,Mahadeva Portaha__Mahadevā Portāhā
NP.00.11608008,Sakhuwa Nankarkatti__Sakhuwā Nankārkaṭṭi̇̄
NP.00.11608030,Sanhaitha__Sanhaiṭhā
NP.00.11608031,Ittatar__Īṭṭāṭār
NP.00.11608032,Krisnapur__Kriṣṇapur
NP.00.11608033,Arnama__Arnamā
NP.00.11608034,Laksmipur__Lakṣmi̇̄pur
NP.00.11608035,Bisnupur__Biṣṇupur
NP.00.11608036,Mahanaur__Mahanaur
NP.00.11608037,Gauripur__Gauri̇̄pur
NP.00.11608038,Silorwa Pachhwari__Silorwā Pachhwāri̇̄
NP.00.11608039,Pipara__Piparā
NP.00.11608040,Aurahi__Aurahi̇̄
NP.00.11608041,Bariyarpatti__Bari̇̄yārpaṭṭi̇̄
NP.00.11608042,Harkatti__Harkaṭṭi̇̄
NP.00.11608043,Tulsipur__Tulsi̇̄pur
NP.00.11608044,Kabilasi__Kabilāsi̇̄
NP.00.11608045,Balahi__Balahi̇̄
NP.00.11608046,Kushaha Laksminiya__Kushahā Lakṣmi̇̄ni̇̄yā
NP.00.11608047,Tenuwapatti__Tenuwāpaṭṭi̇̄
NP.00.11608048,Janakinagar__Jānaki̇̄nagar
NP.00.11608049,Phulkahakatti__Phūlkahākaṭṭi̇̄
NP.00.11608053,Inarwa__Īnarwā
NP.00.11608054,Sukhchaina__Sukhchainā
NP.00.11608055,Lagadi Gadhiyani__Lagaḍi̇̄ Gaḍhi̇̄yāni̇̄
NP.00.11608056,Madar__Māḍar
NP.00.11608067,Bisarbhora__Bisarbhorā
NP.00.11608068,Dubarikot__Dubari̇̄koṭ
NP.00.11608069,Harine__Harine
NP.00.11608070,Balha Kathal__Balhā Kaṭhāl
NP.00.11608071,Patnuka__Patnukā
NP.00.11608072,Balha Saghara__Balhā Saghārā
NP.00.11608073,Arnama__Arnamā
NP.00.11608074,Itari Prasahi__Īṭāri̇̄ Prasāhi̇̄
NP.00.11608075,Chatari__Chatari̇̄
NP.00.11608076,Singyahi Madan__Siṅgyāhi̇̄ Maḍān
NP.00.11608077,Lakkad__Lakkaḍ
NP.00.11608078,Basbitta__Basbiṭṭā
NP.00.11608079,Manpur__Mānpur
NP.00.11608080,Makhnaha__Makhnāhā
NP.00.11608081,Malhaniya__Malhaniyā
NP.00.11608082,Khirauna__Khiraunā
NP.00.11608083,Laksminiya__Lakṣmi̇̄niyā
NP.00.11608084,Hakpara__Hakpārā
NP.00.11608085,Siraha__Sirahā
NP.00.11608086,Thengahi__Ṭheṅgahi̇̄
NP.00.11608087,Sarshwar__Sārshwar
NP.00.11608088,Hanumannagar__Hanumānnagar
NP.00.11608089,Belha__Belhā
NP.00.11608090,Rajpur__Rājpur
NP.00.11608091,Thalaha__Thalahā
NP.00.11608114,Suga Madhukarahi__Sugā Madhukarahi̇̄
NP.00.11608115,Sonigama__Soni̇̄gāmā
NP.00.11608116,Nannupatti__Nannupaṭṭi̇̄
NP.00.11608117,Goth Koyalpur__Goṭh Koyalpur
NP.00.11608118,Yadukoha__Yadukohā
NP.00.11608119,Hathipur Harwada__Hāthipur Harwāḍā
NP.00.11608120,Pachaharwa__Pachaharwā
NP.00.11608121,Baphai__Baphai
NP.00.11608122,Chakkar__Chakkar
NP.00.11608123,Aurahi__Aurahi̇̄
NP.00.11608124,Lakhauri__Lakhauri̇̄
NP.00.11608125,Giddha__Giddhā
NP.00.11608126,Ekrahi__Ekrāhi̇̄
NP.00.11608127,Dhabauli__Dhabauli̇̄
NP.00.11608128,Machi Jhitkaiya__Māchi̇̄ Jhiṭkaiyā
NP.00.11608129,Thadhi Jhija__Ṭhāḍhi̇̄ Jhijā
NP.00.11608130,Duhabi__Duhabi̇̄
NP.00.11608131,Itaharwa__Iṭaharwā
NP.00.11608132,Khajuri Chanha__Khajuri̇̄ Chanhā
NP.00.11608133,Mahuwa__Mahuwā
NP.00.11608166,Chora Koyalpur__Chorā Koyalpur
NP.00.11608174,Basaha__Basahā
NP.00.11608175,Tapeshwari__Tapeshwari̇̄
NP.00.11608180,Beltar__Belṭār
NP.00.11608210,Siddhipur__Siddhipur
NP.00.11608289,Bhumarsuwa__Bhumarsuwā
NP.00.11608290,Deuri__Deuri̇̄
NP.00.11608291,Pashchim Pipra__Pashchim Piprā
NP.00.11608292,Hardiya__Hardiyā
NP.00.11608293,Taregana Gobindapur__Tareganā Gobinḍapur
NP.00.11608295,Simhawati Saune__Siṁhawati̇̄ Sāune
NP.00.11608296,Jalpa Chilaune__Jālpā Chilāune
NP.00.11608338,Bhuttar__Bhuṭṭār
NP.00.11608339,Rauta__Rautā
NP.00.11608340,Pokhari__Pokhari̇̄
NP.00.11608341,Aptar__Ā̃pṭār
NP.00.11608342,Khabu__Khā̃bu
NP.00.11608360,Barre__Barre
NP.00.11608361,Dumre__Ḍumre
NP.00.11608362,Bhalaya Dada__Bhalāya Ḍā̃ḍā
NP.00.11608385,Lalpur__Lālpur
NP.00.11608386,Dhangadhi__Dhangaḍhi̇̄
NP.00.11608387,Bisnupurkatti__Biṣṇupurkāṭṭi̇̄
NP.00.11608388,Gobindapur__Gobindapur
NP.00.11608389,Bastipur__Basti̇̄pur
NP.00.11608390,Dhodana__Ḍhoḍanā
NP.00.11608392,Panchawati__Panchāwati̇̄
NP.00.11608407,Mirchaiya__Mirchaiyā
NP.00.11608408,Phulbariya__Phūlbari̇̄yā
NP.00.11608409,Ayodhyanagar__Ayodhyānagar
NP.00.11608410,Durgapur__Durgāpur
NP.00.11608411,Betauna__Betaunā
NP.00.11608412,Devipur__Devi̇̄pur
NP.00.11608413,Narha__Narhā
NP.00.11608414,Kalyanpur__Kalyāṇpur
NP.00.11608415,Chandra Ayodhyapur__Chandra Ayodhyāpur
NP.00.11608416,Balkawa__Balkawā
NP.00.11608417,Chandralalpur__Chandralālpur
NP.00.11608418,Chandrodayapur__Chandrodayapur
NP.00.11608419,Jamdaha__Jamdaha
NP.00.11608420,Asanpur__Asanpur
NP.00.11608421,Barchhawa__Barchhawā
NP.00.11608422,Maheshpur__Maheshpur
NP.00.11608423,Barchhawa__Barchhawā
NP.00.11608467,Katari__Kaṭāri̇̄
NP.00.11608468,Muksar Birta__Muksār Bi̇̄rtā
NP.00.11608470,Tawashri__Tāwāshri̇̄
NP.00.11621405,Rampur Birta__Rāmpur Birtā
NP.00.11621406,Raghopur__Rāghopur
NP.00.11621438,Tribeni__Tribeṇi̇̄
NP.00.11621483,Barmajhiya__Barmajhiyā
NP.00.11621484,Dumari__Ḍumari̇̄
NP.00.11621485,Karjanha__Karjanhā
NP.00.11621486,Bhediya__Bheḍiyā
NP.00.11621487,Chikna__Chiknā
NP.00.11621488,Bisanpur__Bisanpur
NP.00.11621489,Majholiya__Majholiyā
NP.00.11621490,Sikron__Sikron
NP.00.11621491,Malhaniya Khori__Malhaniyā̃ Khori̇̄
NP.00.11621492,Gautari__Gautāri̇̄
NP.00.11621500,Bhutahi Paterwa__Bhutahi̇̄ Paṭerwā
NP.00.11621501,Mithileshwar Nikas__Mithileshwar Nikās
NP.00.11621502,Mithileshwar Mauwahi__Mithileshwar Mauwāhi̇̄
NP.00.11621503,Hamsapur Kathpulla__Haṁsapur Kaṭhpullā
NP.00.11621504,Suga Nikas__Sugā Nikās
NP.00.11621505,Nauwakhor__Nauwākhor
NP.00.11621506,Kharihani__Kharihāni̇̄
NP.00.11621507,Balabakhar__Bālābākhar
NP.00.11621508,Jhatiyahi__Jhaṭi̇̄yāhi̇̄
NP.00.11621509,Kajara Ramaul__Kajarā Ramaul
NP.00.11621510,Dhanusadham__Dhanuṣādhām
NP.00.11621511,Dhanusa Gobindapur__Dhanuṣā Gobindapur
NP.00.11621512,Satokhar__Satokhar
NP.00.11621513,Thilla Yaduwa__Ṭhillā Yaduwā
NP.00.11621514,Sabaila__Sabaila
NP.00.11621539,Harsahi__Harsāhi̇̄
NP.00.11621540,Badharamal__Baḍharāmāl
NP.00.11621555,Uma Prempur__Umā Prempur
NP.00.11621558,Tallo Godar__Tallo Godār
NP.00.11621559,Labtoli__Labṭoli̇̄
NP.00.11621564,Tulsiyahi Nikas__Tulsi̇̄yāhi̇̄ Nikās
NP.00.11621572,Parsa Pataili__Parsā Pataili̇̄
NP.00.11621573,Matihani__Maṭihāni̇̄
NP.00.11621574,Tulsiyahi Jabdi__Tulsi̇̄yāhi̇̄ Jabdi̇̄
NP.00.11621593,Basbitti__Basbiṭṭi̇̄
NP.00.11621594,Ratauli__Ratauli̇̄
NP.00.11621595,Paudeshwar__Pauḍeshwar
NP.00.11621596,Mansinpatti__Mānsiṅpaṭṭi̇̄
NP.00.11621597,Kanakpatti__Kanakpaṭṭi̇̄
NP.00.11621598,Basahiya__Basahiyā
NP.00.11621599,Bindhi__Bindhi̇̄
NP.00.11621600,Banauli Donauli__Banauli̇̄ Donauli̇̄
NP.00.11621601,Devpura Rupaitha__Devpurā Rupaiṭhā
NP.00.11621602,Lohana__Lohanā
NP.00.11621603,Jhojhi Kataiya__Jhojhi̇̄ Kataiyā
NP.00.11621604,Deuri Parwaha__Deuri̇̄ Parwāhā
NP.00.11621605,Dhanauji__Dhanauji̇̄
NP.00.11621606,Bahuarwa__Bahuarwa
NP.00.11621607,Devdiha__Devḍihā
NP.00.11621608,Ghodghas__Ghoḍghās
NP.00.11621609,Majhaura Bisnupur__Majhaurā Biṣṇupur
NP.00.11621610,Lagma Gadhaguthi__Lagmā Gaḍhāguṭhi̇̄
NP.00.11621611,Phulgama__Phūlgāmā
NP.00.11621612,Nagarain__Nagarāin
NP.00.11621615,Itaharwakatti__Iṭaharwākaṭṭi̇̄
NP.00.11621616,Sisawa Kataiya__Sisawā Kaṭaiyā
NP.00.11621628,Gopalpur__Gopālpur
NP.00.11621629,Bega Shivapur__Bẽgā Shivapur
NP.00.11621630,Andupatti Katarait__Aṇḍupaṭṭi̇̄ Kaṭarait
NP.00.11621631,Baghchaura__Baghchaurā
NP.00.11621632,Kachuri Thera__Kachuri̇̄ Ṭherā
NP.00.11621633,Kurtha__Kurthā
NP.00.11621634,Mahadaiya__Mahadaiyā
NP.00.11621635,Bagada__Bagaḍā
NP.00.11621636,Sinurjora__Sinurjorā
NP.00.11621637,Laksmipur Bagewa__Lakṣmi̇̄pur Bagewā
NP.00.11621638,Tarapatti Sirsiya__Tārāpaṭṭi̇̄ Sirsi̇̄yā
NP.00.11621639,Baniniya__Baniniyā
NP.00.11621640,Hariharpur Harinmari__Hariharpur Harinmari̇̄
NP.00.11621641,Sapahi__Sapahi̇̄
NP.00.11621642,Ramdaiya Bhawadi__Ramdaiyā Bhawāḍi̇̄
NP.00.11621643,Gopalpur__Gopālpur
NP.00.11621644,Digambarpur__Digambarpur
NP.00.11621645,Sakhuwa Mahendranagar__Sakhuwā Mahendranagar
NP.00.11621646,Shantipur__Shānti̇̄pur
NP.00.11621647,Gaidha Bhetpur__Gaiḍhā Bheṭpur
NP.00.11621652,Parsa Dewad__Parsā Dewāḍ
NP.00.11621653,Dharmapur__Dharmapur
NP.00.11621654,Khutta Piparadhi__Khuṭṭā Piparāḍhi̇̄
NP.00.11621655,Paraul__Paraul
NP.00.11621656,Balwa__Bālwā
NP.00.11621657,Sonaul__Sonaul
NP.00.11621658,Banauta__Banauṭā
NP.00.11621659,Basbitti__Basbiṭṭi̇̄
NP.00.11621660,Ramgopalpur__Rāmgopālpur
NP.00.11621661,Meghnath__Meghnāth
NP.00.11621662,Loharpatti__Lohārpaṭṭi̇̄
NP.00.11621680,Dhalkebar__Ḍhalkebar
NP.00.11621681,Laksminibas__Lakṣmi̇̄nibās
NP.00.11621682,Pashupatinagar__Pashupati̇̄nagar
NP.00.11621683,Bhangaha__Bhaṅgahā
NP.00.11621684,Bhuchakrapur__Bhuchakrapur
NP.00.11621685,Bateshwar__Baṭeshwar
NP.00.11621686,Hattisarwa__Hattisarwā
NP.00.11621697,Gauribas__Gauri̇̄bās
NP.00.11621698,Kisannagar__Kisānnagar
NP.00.11621699,Naktajhij__Nakṭājhij
NP.00.11621714,Gaushala__Gaushālā
NP.00.11621715,Belgachhi__Belgāchhi̇̄
NP.00.11621716,Bijalpura__Bijalpurā
NP.00.11621717,Hathilet__Hāthi̇̄leṭ
NP.00.11762510,Sahorwa__Sahorwā
NP.00.11762512,Ekdara__Ekḍārā
NP.00.11762513,Halkhori__Halkhori̇̄
NP.00.11762514,Ekrahiya__Ekrahiyā
NP.00.11762515,Suga Bhawanipatti__Sugā Bhawāni̇̄paṭṭi̇̄
NP.00.11762516,Dhirapur__Dhirāpur
NP.00.11762517,Sarpallo__Sarpallo
NP.00.11762518,Manara__Manarā
NP.00.11762519,Sadha__Sā̃ḍhā
NP.00.11762520,Kolhuwa Bageya__Kolhuwā Bageyā
NP.00.11762521,Ankar__Ankār
NP.00.11762522,Nainhi__Nainhī
NP.00.11762523,Jaleshwar__Jaleshwar
NP.00.11762524,Simardahi__Simardahī
NP.00.11762525,Pigauna__Pigaunā
NP.00.11762526,Prakauli Phulhatta__Prakaulī Phūlhaṭṭā
NP.00.11762527,Mahottari__Mahottarī
NP.00.11762528,Damhi Madai__Ḍāmhī Madai
NP.00.11762529,Badiya Manchauri__Badiyā Manchaurī
NP.00.11762530,Gonarpura__Gonarpurā
NP.00.11763196,Baraha Pokhari__Bārāhā Pokhari̇̄
NP.00.11763204,Suntale__Suntale
NP.00.11763221,Phaktan__Phākṭāṅ
NP.00.11763235,Saunechaur__Sāunechaur
NP.00.11763246,Diplun__Dipluṅ
NP.00.11763251,Mauwabote__Mauwāboṭe
NP.00.11763312,Bopun__Bopuṅ
NP.00.11763355,Chisapani__Chisāpāni̇̄
NP.00.11763356,Pauwasera__Pauwāserā
NP.00.11763357,Devisthan__Devi̇̄sthān
NP.00.11763358,Kahule__Kāhule
NP.00.11763359,Chaudandi__Chauḍaṇḍi̇̄
NP.00.11763360,Balankha__Bālaṅkhā
NP.00.11763361,Pangcha__Pāṅgchā
NP.00.11763383,Belhi__Belhi̇̄
NP.00.11763384,Mainha Sahashrabahu__Mainhā Sahashrabāhu
NP.00.11763385,Siswa Belhi__Siswā Belhi̇̄
NP.00.11763386,Mauwaha__Mauwāhā
NP.00.11763387,Kachan__Kāchan
NP.00.11763388,Tarahi__Tarahi̇̄
NP.00.11763389,Pato__Pāto
NP.00.11763390,Khadakpur__Khaḍakpur
NP.00.11763391,Kabilasha__Kabilāshā
NP.00.11763392,Banaula__Banaulā
NP.00.11763393,Negada__Nẽgaḍā
NP.00.11763394,Phulbadiya__Phūlbaḍiyā
NP.00.11763395,Bode Barsain__Bode Barsāin
NP.00.11763396,Phulkahi__Phūlkahī
NP.00.11763397,Rautahat__Rautahaṭ
NP.00.11763398,Manraja__Mānrājā
NP.00.11763399,Nakati Rayapur__Nakaṭi̇̄ Rāyapur
NP.00.11763400,Basbalpur__Basbalpur
NP.00.11763414,Itahari Bisnapur__Iṭahari̇̄ Biṣṇapur
NP.00.11763415,Boriya__Boriyā
NP.00.11763416,Simraha__Simrāhā
NP.00.11763417,Inarwa Phulbariya__Īnarwā Phulbariyā
NP.00.11763418,Rampur Jamuwa__Rāmpur Jamuwā
NP.00.11763419,Basbalpur__Basbalpur
NP.00.11763420,Arnaha__Arnāhā
NP.00.11763421,Bramhapur__Bramhapur
NP.00.11763422,Gamhariya Parwaha__Gamhariyā Parwāhā
NP.00.11763423,Belahi Chapena__Belahī Chapenā
NP.00.11763424,Malekpur__Malekpur
NP.00.11763425,Jamuni Madhepura__Jamunī Madhepurā
NP.00.11763426,Maleth__Maleṭh
NP.00.11763427,Rajbiraj__Rājbirāj
NP.00.11764209,Rajpur__Rājpur
NP.00.11764261,Tejapakad__Tejāpākaḍ
NP.00.11764262,Laukaha__Laukāhā
NP.00.11764263,Basantapatti__Basantapaṭṭi̇̄
NP.00.11764264,Narkatiya__Narkaṭiyā
NP.00.11764265,Rampur Khap__Rāmpur Khāp
NP.00.11764266,Rajpur Pharhadawa__Rājpur Pharhadawā
NP.00.11764267,Jatahara__Jaṭahārā
NP.00.11764268,Jokaha__Jokahā
NP.00.11764269,Mathiya__Maṭhiyā
NP.00.11764270,Dumariya__Ḍumariyā
NP.00.11764271,Bairiya__Bairiyā
NP.00.11764272,Akolwa__Akolwā
NP.00.11764273,Auraiya__Auraiyā
NP.00.11764274,Banjarha__Banjarhā
NP.00.11764304,Jathal__Jathal
NP.00.11764305,Balubadi__Bālubādi̇̄
NP.00.11764306,Baniyani__Baniyāni̇̄
NP.00.11764307,Pathariya__Pathari̇̄yā
NP.00.11764308,Pathamari__Pāṭhāmāri̇̄
NP.00.11764309,Kechana__Kechanā
NP.00.11764311,Prithvinagar__Prithvi̇̄nagar
NP.00.11764507,Satabariya__Satabari̇̄yā
NP.00.11764561,Dharna__Dharnā
NP.00.11764562,Laksmipur__Lakṣmi̇̄pur
NP.00.11764895,Bela__Belā
NP.00.11765769,Hasipur__Hā̃si̇̄pur
NP.00.11765770,Sisahaniya__Sisahaniyā
NP.00.11765772,Loharpani__Lohārpāni̇̄
NP.00.11765773,Tiram__Tirām
NP.00.11765820,Gadhawa__Gaḍhawā
NP.00.11765821,Ganga Paraspur__Gaṅgā Paraspur
NP.00.11765853,Lalmatiya__Lālmaṭiyā
NP.00.11765854,Gobardiha__Gobarḍihā
NP.00.11765889,Asurkot__Asurkoṭ
NP.00.11765891,Pakala__Pakalā
NP.00.11765892,Baraula__Baraulā
NP.00.11765893,Danban__Dāṅbāṅ
NP.00.11765894,Hamsapur__Haṁsapur
NP.00.11765895,Bangesal__Bāṅgesāl
NP.00.11765936,Siddhara__Siddhārā
NP.00.11765937,Jaluke__Jaluke
NP.00.11765938,Shiwapur__Shiwāpur
NP.00.11765939,Shiwagadhi__Shiwagaḍhi̇̄
NP.00.11765955,Koilabas__Koilābās
NP.00.11765973,Gugauli__Gugauli̇̄
NP.00.11766007,Jandaul__Jaṇḍaul
NP.00.11766046,Kimdada__Kimḍā̃ḍā
NP.00.11766047,Khilji__Khilji̇̄
NP.00.11766048,Sandhikharka__Sandhikharka
NP.00.11766049,Nuwakot__Nuwākoṭ
NP.00.11766050,Khachi__Khā̃chi̇̄
NP.00.11766051,Dhikura__Ḍhikurā
NP.00.11766052,Dhanchaur__Dhanchaur
NP.00.11766053,Thada__Ṭhāḍā
NP.00.11766054,Jukena__Jukenā
NP.00.11766055,Sitapur__Sitāpur
NP.00.11766056,Hadiya__Haḍiyā
NP.00.11766057,Jogidaha__Jogi̇̄daha
NP.00.11766058,Theliya__Ṭheliyā
NP.00.11766084,Bakdhuwa__Bakdhuwā
NP.00.11766156,Rajbiraj__Rājbirāj
NP.00.11766157,Dighawa__Dighawā
NP.00.11766158,Pakari__Pakari̇̄
NP.00.11766159,Pharsaith__Pharsaiṭh
NP.00.11766160,Bamangama Katti__Bamangāmā Kaṭṭi̇̄
NP.00.11766161,Deuri Bharuwa__Deuri̇̄ Bharuwā
NP.00.11766162,Bathanaha__Bathanāhā
NP.00.11766163,Prasbani__Prasbani̇̄
NP.00.11766164,Bathanaha__Bathanāhā
NP.00.11766165,Bhagawatpur__Bhagawatpur
NP.00.11766166,Dadha__Ḍāḍhā
NP.00.11766167,Trikaul__Trikaul
NP.00.11766168,Goithi__Goiṭhi̇̄
NP.00.11766169,Diman__Ḍiman
NP.00.11766170,Lohajara__Lohajārā
NP.00.11766171,Bakdhuwa__Bakdhuwā
NP.00.11766172,Mainakaderi__Mainākaḍeri̇̄
NP.00.11766173,Madhawapur__Madhawāpur
NP.00.11766174,Joginiya Du'i__Joginiyā Du’i̇̄
NP.00.11766175,Joginiya Eka__Joginiyā Ēka
NP.00.11766188,Trikaul__Trikaul
NP.00.11766189,Bairawa__Bairawā
NP.00.11766190,Bhardaha__Bhārdaha
NP.00.11766191,Badagama__Badagāmā
NP.00.11766192,Joginiya Du'i__Joginiyā Du’i̇̄
NP.00.11766193,Badagama__Badagāmā
NP.00.11766236,Digam__Digām
NP.00.11766237,Siddheswar__Siddheswar
NP.00.11766238,Somadi__Somādi̇̄
NP.00.11766239,Chhahara__Chhaharā
NP.00.11766240,Mujhun__Mujhuṅ
NP.00.11766241,Thanpati__Thānpāṭi̇̄
NP.00.11766242,Ruru__Ruru
NP.00.11766243,Khyaha__Khyāhā
NP.00.11766244,Palun Mainadi__Pāluṅ Mainādi̇̄
NP.00.11766245,Gwadi__Gwādi̇̄
NP.00.11766246,Rimuwa__Rimuwā
NP.00.11766247,Karikot Chandi Bhanjyan__Kari̇̄kot Chaṇḍi̇̄ Bhañjyāṅ
NP.00.11766248,Argeli__Argeli̇̄
NP.00.11766249,Deurali__Deurāli̇̄
NP.00.11766250,Khasyauli__Khasyauli
NP.00.11766251,Bhairavsthan__Bhairavsthān
NP.00.11766252,Aslewa__Aslewā
NP.00.11766253,Brandi Pokhara__Brandi̇̄ Pokhara
NP.00.11766255,Baletaksar__Baleṭaksār
NP.00.11766564,Baugha Pokharathok__Baughā Pokharāthok
NP.00.11766565,Shri Alamdevi__Shri̇̄ Ālamdevi̇̄
NP.00.11766566,Thulo Lumpek__Ṭhulo Lumpek
NP.00.11766567,Baligha Gumha__Balighā Gumhā
NP.00.11766568,Khanigau__Khāni̇̄gāũ
NP.00.11766569,Baugha__Baughā
NP.00.11766570,Warandi__Warāṅdi̇̄
NP.00.11766571,Tansen__Tānsen
NP.00.11766572,Chappani__Chāppāni̇̄
NP.00.11766573,Harmichaur__Harmi̇̄chaur
NP.00.11766574,Birgha__Birghā
NP.00.11766575,Shri Krisna Gandaki__Shri̇̄ Kriṣṇa Gaṇḍaki
NP.00.11766576,Yamgha__Yamghā
NP.00.11766577,Nayarnamtales__Nāyarnamtales
NP.00.11766578,Chirtun Dhara__Chirtun Dhārā
NP.00.11766579,Darlamdada__Darlāmḍāḍā
NP.00.11766580,Nibuwakharka__Nibuwākharka
NP.00.11767029,Rampur__Rāmpur
NP.00.11767098,Dharan__Dharān
NP.00.11767099,Yansila__Yāṅsilā
NP.00.11767101,Pachkanya__Pā̃chkanyā
NP.00.11767176,Khanichhap__Khānichhāp
NP.00.11767177,Jagatradevi__Jagatradevi̇̄
NP.00.11767178,Pidikhola__Piḍi̇̄kholā
NP.00.11767179,Pipaldada__Pipalḍā̃ḍā
NP.00.11767180,Peiakot__Peiākoṭ
NP.00.11767181,Phoksinkot__Phoksinkoṭ
NP.00.11767182,Sirsekot__Sirsekoṭ
NP.00.11767183,Tin Dobate__Tin Dobāṭe
NP.00.11767184,Pakbadi__Pakbādi̇̄
NP.00.11767185,Heklan__Heklān
NP.00.11767186,Hungi__Huṅgi̇̄
NP.00.11767187,Malunga__Mālungā
NP.00.11767189,Tulsi Bhanjyan__Tulsi̇̄ Bhañjyāṅ
NP.00.11767190,Thum Pokhara__Thum Pokharā
NP.00.11767274,Walin__Wālin
NP.00.11767276,Gejha__Gejhā
NP.00.11767277,Kuwakot__Kuwākoṭ
NP.00.11767279,Keware Bhanjyan__Keware Bhañjyāṅ
NP.00.11767280,Jagat Bhanjyan__Jagat Bhañjyāṅ
NP.00.11767281,Chapakot__Chāpākoṭ
NP.00.11767282,Ratnapur__Ratnapur
NP.00.11767283,Malyankot__Malyāṅkoṭ
NP.00.11767284,Eladi__Elādi̇̄
NP.00.11767286,Manakamana__Manakāmanā
NP.00.11767352,Chinnebas__Chinnebās
NP.00.11767353,Kichanas__Kichanas
NP.00.11767354,Sakhar__Sākhar
NP.00.11767355,Kyakmi__Kyākmī
NP.00.11767356,Magyam Chisapani__Magyām Chisāpānī
NP.00.11767358,Chitrebhanjyan__Chitrebhañjyāṅ
NP.00.11767359,Kihu__Kihũ
NP.00.11767360,Gajarkot__Gajarkoṭ
NP.00.11767361,Sekham__Sekhām
NP.00.11767431,Siluwa__Siluwā
NP.00.11767432,Darchha__Darchhā
NP.00.11767433,Galdha__Galḍhā
NP.00.11767434,Mityal__Mityāl
NP.00.11767435,Jhirubas__Jhirubās
NP.00.11767436,Sahalkot__Sahālkot
NP.00.11767437,Gaidakot__Gai̇̃ḍākoṭ
NP.00.11767478,Benimanipur__Beni̇̄maṇi̇̄pur
NP.00.11767479,Dumkibas__Dumkibās
NP.00.11767480,Daunne__Dāunne
NP.00.11767481,Rupauliya__Rupauliyā
NP.00.11767482,Naya Belhani__Nayā̃ Belhānī
NP.00.11767483,Prasauni__Prasauni̇̄
NP.00.11767488,Phakphok__Phākphok
NP.00.11767545,Bajho__Bā̃jho
NP.00.11767546,Sakphara__Sākphārā
NP.00.11767593,Mangalbare__Maṅgalbāre
NP.00.11767594,Ektappa__Ektappā
NP.00.11767595,Dhuseni__Dhuseni̇̄
NP.00.11767686,Pyan__Pyāṅ
NP.00.11767687,Namsalin__Nāmsāliṅ
NP.00.11767688,Godak__Godak
NP.00.11767689,Sakhejun__Sākhejuṅ
NP.00.11767690,Shanti Dada__Shānti Ḍā̃ḍā
NP.00.11767691,Sanrumba__Sāṅrumbā
NP.00.11767692,Barbote__Barbote
NP.00.11767693,Sumbek__Sumbek
NP.00.11767721,Baklauri__Baklauri̇̄
NP.00.11767722,Singiya__Siṅgiyā
NP.00.11767723,Pakali__Pakali̇̄
NP.00.11767724,Bhadgau Sinuwari__Bhādgāũ Sinuwāri̇̄
NP.00.11767725,Dumraha__Ḍumrāhā
NP.00.11767726,Ekamba__Ekambā
NP.00.11767758,Shanischare__Shanischare
NP.00.11767759,Bayarban__Bayarban
NP.00.11767760,Amardaha__Amardaha
NP.00.11767761,Hasandaha__Hasandaha
NP.00.11767762,Gobindapur__Gobindapur
NP.00.11767763,Itahara__Iṭaharā
NP.00.11767823,Rajghat__Rājghāṭ
NP.00.11767824,Kohabara__Kohabarā
NP.00.11767825,Maharani Jhoda__Mahārānī Jhoḍā
NP.00.11767826,Topgachhi__Topgāchhi̇̄
NP.00.11767827,Gauradaha__Gaurādaha
NP.00.11767828,Juropani__Juropāni̇̄
NP.00.11768347,Dharampur__Dharampur
NP.00.11768348,Baigundhura__Baigundhurā
NP.00.11768349,Pachgachhi__Pā̃chgāchhi̇̄
NP.00.11768350,Shivaganj__Shivagañj
NP.00.11768378,Dagibadi__Ḍā̃gibāḍi̇̄
NP.00.11768379,Sharanamati__Sharaṇāmati̇̄
NP.00.11768380,Chakchaki__Chakchaki̇̄
NP.00.11768381,Tagandubba__Ṭā̃ganḍubbā
NP.00.11768382,Goldhap__Goldhāp
NP.00.11768383,Charpane__Chārpāne
NP.00.11769485,Ghuski__Ghuski̇̄
NP.00.11770842,Madhya Harsahi__Madhya Harṣāhi̇̄
NP.00.11770843,Dewanganj__Dewāngañj
NP.00.11770844,Kaptanganj__Kaptāngañj
NP.00.11770845,Sahebganj__Sāhebgañj
NP.00.11770846,Amduwa__Amḍuwā
NP.00.11770847,Ramganj Belgachhiya__Rāmgañj Belgāchhi̇̄yā
NP.00.11770848,Amahi Belha__Amāhi̇̄ Belhā
NP.00.11770893,Belkot__Belkoṭ
NP.00.11770894,Kumari__Kumari̇̄
NP.00.11770895,Chhatre Deurali__Chhatre Deurāli̇̄
NP.00.11770896,Chauthe__Chāuthe
NP.00.11770897,Kakani__Kakani̇̄
NP.00.11770898,Madanpur__Madānpur
NP.00.11770899,Chaturale__Chaturāle
